Page,Title,Element,Subgroup,Subgroup Title,Key,Title,Score,Trend
shared-outcomes-page,Shared Outcomes,infoboxes,,,registered-caregivers,Registered Caregivers,0,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,quality-of-life,Quality of Life,A,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,experience,Experience,B+,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,expected,Expected,C-,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,burden,Burden,87.2,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,quality-of-life,Quality of Life,C,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,experience,Experience,A+,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,expected,Expected,D-,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,burden,Burden,65.4,
population-reach-page,Population Reach,infoboxes,,,tab-1,Population,28000,
population-reach-page,Population Reach,infoboxes,,,tab-2,Eligible,6000,
population-reach-page,Population Reach,infoboxes,,,tab-3,Target,1500,
population-reach-page,Population Reach,infoboxes,,,tab-4,Registered,0,
population-reach-page,Population Reach,infoboxes,,,registered-caregivers,Registered Caregivers,0,
population-reach-page,Population Reach,scoreCards,priority-subgroup-1,Priority Subgroup,over-80,80+,78,UP
population-reach-page,Population Reach,scoreCards,priority-subgroup-1,Priority Subgroup,disabled,Disabled,10,DOWN
population-reach-page,Population Reach,scoreCards,dependency-subgroup-1,Dependency Level,light,Light,111,DOWN
population-reach-page,Population Reach,scoreCards,dependency-subgroup-1,Dependency Level,moderate,Moderate,90,UP
population-reach-page,Population Reach,scoreCards,dependency-subgroup-1,Dependency Level,complex,Complex,20,NONE
population-reach-page,Population Reach,scoreCards,dependency-subgroup-1,Dependency Level,eol,EOL,0,NONE
population-reach-page,Population Reach,scoreCards,registered-subgroup-1,Registered To,care,Care,111,UP
population-reach-page,Population Reach,scoreCards,registered-subgroup-1,Registered To,outreach,Outreach,90,UP
population-reach-page,Population Reach,scoreCards,registered-subgroup-1,Registered To,neighbourhood,Neighbourhood,20,DOWN
population-reach-page,Population Reach,scoreCards,priority-subgroup-2,Priority Subgroup,over-80,80+,68,DOWN
population-reach-page,Population Reach,scoreCards,priority-subgroup-2,Priority Subgroup,disabled,Disabled,20,UP
population-reach-page,Population Reach,scoreCards,dependency-subgroup-2,Dependency Level,light,Light,99,NONE
population-reach-page,Population Reach,scoreCards,dependency-subgroup-2,Dependency Level,moderate,Moderate,95,DOWN
population-reach-page,Population Reach,scoreCards,dependency-subgroup-2,Dependency Level,complex,Complex,30,UP
population-reach-page,Population Reach,scoreCards,dependency-subgroup-2,Dependency Level,eol,EOL,100,DOWN
population-reach-page,Population Reach,scoreCards,registered-subgroup-2,Registered To,care,Care,95,NONE
population-reach-page,Population Reach,scoreCards,registered-subgroup-2,Registered To,outreach,Outreach,20,DOWN
population-reach-page,Population Reach,scoreCards,registered-subgroup-2,Registered To,neighbourhood,Neighbourhood,30,UP
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice1,50,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice1-details-report,Indicator #1,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice1-details-report,Indicator #1,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice1-details-report,Indicator #2,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice1-details-report,Indicator #2,,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice2,50,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice2-details-report,Indicator #1,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice2-details-report,Indicator #1,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice2-details-report,Indicator #2,,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice2-details-report,Indicator #2,,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice3,20,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice3-details-report,Indicator #1,32%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice3-details-report,Indicator #1,30%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice3-details-report,Indicator #2,10%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice3-details-report,Indicator #2,12%,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice4,50,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice4-details-report,Indicator #1,5%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice4-details-report,Indicator #1,20%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice4-details-report,Indicator #2,15%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice4-details-report,Indicator #2,72%,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice5,30,
