Page,Title,Element,Subgroup,Subgroup Title,Key,Title,Score,Trend,
shared-outcomes-page,Shared Outcomes,infoboxes,,,people-registered,People Registered,24,,
shared-outcomes-page,Shared Outcomes,infoboxes,,,care-partners-registered,Care Partners Registered,5,,
shared-outcomes-page,Shared Outcomes,infoboxes,,,neighbours-registered,Neighbours Registered,0,,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,quality-of-life,Quality of Life,C+,,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,health,Health,GOOD,,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,experience,Experience,C+,,
shared-outcomes-page,Shared Outcomes,scoreCards,people-subgroup,People,social-connection,Social Connection,C+,,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,quality-of-life,Quality of Life,C+,,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,experience,Experience,B-,,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,social-connection,Social Connection,C+,,
shared-outcomes-page,Shared Outcomes,scoreCards,care-partners-subgroup,Care Partners,burden,Burden,MILD TO MODERATE,,
shared-outcomes-page,Shared Outcomes,scoreCards,neighbours-subgroup,Neighbours,quality-of-life,Quality of Life,NA,,
shared-outcomes-page,Shared Outcomes,scoreCards,neighbours-subgroup,Neighbours,social-connection,Social Connection,NA,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,tab-1,Population,400000,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,tab-2,Eligible,82000,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,tab-3,Target,1500,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,tab-4,Registered,24,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,registered-caregivers,Registered Caregivers,5,,
population-reach-page,People Registered in Compassion Care Community,infoboxes,,,registered-neighbours,Registered Neighbours,0,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,priority-subgroup-1,Priority Subgroup,seniors,Seniors,59000,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,priority-subgroup-1,Priority Subgroup,disabled,Non-Senior Disabled,23000,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,priority-subgroup-2,Priority Subgroup,seniors,Seniors,16,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,priority-subgroup-2,Priority Subgroup,disabled,Non-Senior Disabled,8,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,dependency-subgroup-2,Dependency Level,minimal,Minimal,0,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,dependency-subgroup-2,Dependency Level,some,Some,0,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,dependency-subgroup-2,Dependency Level,high,High,19,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,dependency-subgroup-2,Dependency Level,late-stage,Late Stage,0,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,registered-subgroup-2,Registered To,care,Care,19,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,registered-subgroup-2,Registered To,outreach,Outreach,0,,
population-reach-page,People Registered in Compassion Care Community,scoreCards,registered-subgroup-2,Registered To,neighbourhood,Neighbourhood,0,,
